maquina: C-BIOS_MSX1_JP
tiempo_emulado  reloj_del_juego(BCD)
  18.000        000000
  19.000        000000
  20.000        009490
  21.000        019480
  22.000        029470
  23.000        039460
  24.000        049450
  25.000        059440
  26.000        069430
  27.000        079254
  28.000        009158
  29.000        019148
  30.000        029138
